Product Rating,vote,verified,reviewTime,reviewerID,asin,style,reviewerName,reviewText,summary,unixReviewTime,
5,2,TRUE,"05 4, 2014",A2IC3NZN488KWK,871167042,{'Format:': ' Paperback'},Ruby Tulip,"This book has beautiful photos, good and understandable directions, and many different kinds of jewelry.  Wire working and metalsmithing jewelry are covered.  Highly recommend this book.",Unique designs,1399161600,
3,5,TRUE,"07 23, 2014",A1YIEW86G14BHP,871167042,{'Format:': ' Paperback'},Aldne Now,"If you're an experienced wire jewelry maker, there's not much new to be found in this book. There are a few clever ideas, but overall, the look of the projects is pretty amateurish. ""Stunning"", is an overstatement.",OK Jewelry Book,1406073600,
4,3,TRUE,"06 5, 2014",AA7PNT2OPS3RP,871167042,{'Format:': ' Paperback'},Catherine Franz,"Hi, have been making jewelry now for the last 5 years and love the use of nature and using natural materials.  The cuff bracelet uses a lot of wire; however, the outcome is beautiful.  Especially if you patina the copper with antique black and tumble it for 30 minutes or so afterwards.",Organic and upcycling jewelry maker,1401926400,
5,2,TRUE,"05 30, 2014",A3LOIIIW4G3TL7,871167042,{'Format:': ' Paperback'},Picky Virgo,"There's nothing prissy or matchy-matchy about the designs in this book.  The authors have presented jewelry that appears to have sprung full-grown from the earth, sea, and/or sky.  I was inspired by nearly every page.

I've been fortunate to have taken classes with Eva, and if you have the opportunity I urge you to do the same.",Perfect Title!,1401408000,
5,2,TRUE,"05 10, 2014",AZI75OKBKZ98R,871167042,{'Format:': ' Paperback'},T. Malone,"I love this book! There are some very lovely ideas in this book. It is just full of inspiration and beautiful photography.
It's a great book for your jewelry-making library.",Inspirational,1399680000,
5,5,TRUE,"12 13, 2015",A16DSXRAN5QK94,1519588135,{'Format:': ' Kindle Edition'},Denise,"Just love this series, and the catch ups with the previous character just love it.
It a good love story",Loved it,1449964800,
5,22,TRUE,"12 12, 2015",A2GU5SHR2DC29H,1519588135,{'Format:': ' Kindle Edition'},ZETTER,"Brice Henderson friend and business partner to Asher Barrington has always been a go getter so when his latest project was the one that could get him recognized his talent, he went all out. But what Brice didn't count on was a face from the past turning his world upside down.

Lena Razzi a single mother to a little boy named Nicholas got a job as a replacement for a month at B&H Advanced Engineering but what she was not told was that she would be working for an old flame....the one and only, Brice Henderson.

When Lena and Brice came face to face it was a surprise to them both, the chemistry and attraction were still very much alive....The former still loved the latter ans vice versa, they were both trying to stay away but to no avail.

Lena never told Brice about Nicholas cause she never wanted her son to feel rejected by his father. But when Brice found out about his existence, he regretted the choices he made in the past....Choosing success over family and relations.

There was no turning back the hands of time only looking forward to the future with Lena and Nicholas. ONE WHITE LIE was fascinating. Love Dominic Corisi, Trent and many more making an appearance.

This is my first book by Jeannette Winters, I'm thrilled that she's working with one of my favorite authors, Ruth Caredello and I can't wait for what they have in store for us with this amazing series.",Sweetest Love!!!,1449878400,
4,3,TRUE,"12 7, 2015",A2FHBHNKHRDS72,1519588135,{'Format:': ' Kindle Edition'},Reading by the Book Blog,"This book was a solid 4 stars for me. I did not forsee Brice having the attitude and determination of his partner Asher. When I first met him in Always Mine, I thought he was the gentler of the two. HEY, I was SO wrong. Him and Lena relationship or reunited one was tricky. Things ended confussed and hurtful on her part but she never got over the person she once knew. As they say all people change and Brice's change was not for the better.

It took long nights in a hospital room after some mixed feeling news and a meddling sister for him to learn the truth about Lena. Also, it took clearing a soul before death for him to get closure that held him in a place of stay and go, love from a distance or by her side. I am glad he made the right choice and am excited to see what lies ahead for the other Henderson clan.",Solid and Engaging Read,1449446400,
5,5,TRUE,"12 7, 2015",A1OMRK7B7SN83C,1519588135,{'Format:': ' Kindle Edition'},Kindle Customer,"A great start to her new series, This one has all the elements I love, passion, intrigue, love, lust, family, and redemption.",A great new start,1449446400,
5,2,TRUE,"04 5, 2017",A11VYN8DIT7TN7,1519588135,{'Format:': ' Kindle Edition'},Liz L,Couldn't wait to get to the next .,Good read!,1491350400,
